Force-Distance Curve
Date and Time:  2016-04-25   12.58.40

Up data,Down data
0.73928242,0.75201222
0.75201222,0.75073924
0.74055540,0.74819328
0.73546348,0.76474202
0.69472812,0.73928242
0.68454428,0.73291752
0.70236600,0.74182838
0.68454428,0.73419050
0.66544958,0.73037156
0.65653873,0.73291752
0.67054150,0.73419050
0.66799554,0.73928242
0.67308746,0.72146070
0.64890085,0.71127686
0.66035767,0.71000388
0.66290362,0.71382282
0.64253595,0.70745792
0.63744403,0.69345514
0.60307357,0.68072534
0.59288973,0.67436044
0.58143291,0.69218216
0.57506801,0.68836322
0.57634099,0.67817938
0.57124907,0.67436044
0.54960841,0.65144681
0.54069755,0.65271979
0.52542179,0.65144681
0.53815159,0.62853317
0.49996219,0.61834933
0.51651093,0.59925463
0.51269199,0.60307357
0.52032987,0.59416271
0.49868921,0.61071145
0.45795386,0.58652483
0.45031598,0.57506801
0.47959452,0.56743013
0.54069755,0.55979225
0.54960841,0.55724629
0.42867532,0.55342735
0.44013214,0.53815159
0.46941068,0.56615715
0.45158896,0.55215437
0.46049982,0.54451649
0.45795386,0.53687861
0.44904300,0.51651093
0.40194274,0.52924073
0.38666698,0.53178669
0.37139122,0.51141901
0.35102354,0.51651093
0.40066976,0.49232432
0.39430486,0.50378113
0.33320182,0.49614325
0.34720460,0.47322962
0.33702076,0.49105134
0.31156117,0.48341346
0.32683692,0.48468644
0.26064197,0.47322962
0.25427707,0.47704856
0.27082581,0.47322962
0.27337177,0.45286194
0.27591773,0.47832154
0.26064197,0.44649704
0.28610157,0.42867532
0.27719071,0.44904300
0.28992051,0.43122128
0.28992051,0.43885916
0.24409323,0.40958062
0.24918515,0.43504022
0.25555005,0.45031598
0.24536621,0.41594552
0.27464475,0.41467254
0.28737455,0.42867532
0.29628541,0.42103744
0.29373945,0.41594552
0.29501243,0.39812380
0.29373945,0.40576168
0.29628541,0.39685082
0.29373945,0.39430486
0.29755839,0.39303188
0.29119349,0.39175890
0.29755839,0.39557784
0.29628541,0.38284804
0.28992051,0.37648314
0.29501243,0.39685082
0.29119349,0.37648314
0.29119349,0.36120738
0.29373945,0.36120738
0.29628541,0.34975056
0.29628541,0.34211268
0.29501243,0.34083970
0.29883137,0.32938288
0.29501243,0.31919905
0.29501243,0.31919905
0.29501243,0.32301799
0.29755839,0.31156117
0.29628541,0.29501243
0.29628541,0.29755839
0.29246647,0.28100965
0.29628541,0.26573389
0.29246647,0.27082581
0.29373945,0.26573389
0.29628541,0.26191495
0.28992051,0.26955283
0.29373945,0.26318793
0.28864753,0.26318793
0.28992051,0.25936899
0.28864753,0.25300409
0.29501243,0.25555005
0.28864753,0.25427707
0.29501243,0.25682303
0.29246647,0.25682303
0.29246647,0.25809601
0.29628541,0.25045813
0.29119349,0.25300409
0.29119349,0.25555005
0.28864753,0.25427707
0.29246647,0.25809601
0.29373945,0.25809601
0.29119349,0.26700687
0.29246647,0.26827985
0.29119349,0.27464475
0.29501243,0.27591773
0.29373945,0.26064197
0.29246647,0.27082581
0.28992051,0.28355561
0.28864753,0.28610157
0.29119349,0.27719071
0.29373945,0.28482859
0.29373945,0.28482859
0.28992051,0.28228263
0.28864753,0.28355561
0.29755839,0.28482859
0.29628541,0.28482859
0.29501243,0.28737455
0.29246647,0.28864753
0.29628541,0.28737455
0.29119349,0.29119349
0.29373945,0.28992051
0.28992051,0.28992051
0.29628541,0.28737455
0.29501243,0.29373945
0.29501243,0.29373945
0.29628541,0.29373945
0.29628541,0.28737455
0.29373945,0.29246647
0.29246647,0.28864753
0.29119349,0.29246647
0.30010435,0.28992051
0.29755839,0.29246647
0.29501243,0.29628541
0.29628541,0.29119349
0.29373945,0.28992051
0.29628541,0.29373945
0.29119349,0.29246647
0.29373945,0.29119349
0.28992051,0.29373945
0.29373945,0.28992051
0.29755839,0.29246647
0.28992051,0.29501243
0.29119349,0.29501243
0.29501243,0.29501243
0.29373945,0.29246647
0.28864753,0.28864753
0.29501243,0.29246647
0.29501243,0.29246647
0.29628541,0.29501243
0.29628541,0.28864753
0.29501243,0.29501243
0.28992051,0.29373945
0.29501243,0.29628541
0.29755839,0.29373945
0.29373945,0.28864753
0.28992051,0.29373945
0.28992051,0.28992051
0.29628541,0.29628541
0.29246647,0.29246647
0.29501243,0.28992051
0.28992051,0.29373945
0.29373945,0.28864753
0.28864753,0.29246647
0.29373945,0.29628541
0.29755839,0.28992051
0.29373945,0.28992051
0.29373945,0.29373945
0.29628541,0.29628541
0.29501243,0.29119349
0.28992051,0.29373945
0.29246647,0.28864753
0.29628541,0.29373945
0.29246647,0.28992051
0.29119349,0.29628541
0.29119349,0.29246647
0.29373945,0.29628541
0.29501243,0.29246647
0.29501243,0.29246647
0.28864753,0.29501243
0.29373945,0.29119349
0.29246647,0.29628541
0.29119349,0.29501243
0.28864753,0.29373945
0.29119349,0.29501243
0.28992051,0.28992051
0.29119349,0.29628541
0.29119349,0.29373945
0.29373945,0.29119349
0.28737455,0.29246647
0.29119349,0.29119349
0.29501243,0.29501243
0.29119349,0.29501243
0.29501243,0.29501243
0.28992051,0.29119349
0.28864753,0.29119349
0.28992051,0.29119349
0.29119349,0.28864753
0.28737455,0.28992051
0.28992051,0.29501243
0.29246647,0.29119349
0.29501243,0.28737455
0.29119349,0.28864753
0.28992051,0.29628541
0.29501243,0.29628541
0.29246647,0.29501243
0.29373945,0.29628541
0.28992051,0.29373945
0.29246647,0.29119349
0.29373945,0.29246647
0.28864753,0.29246647
0.28737455,0.29246647
0.29119349,0.29119349
0.28864753,0.29373945
0.28992051,0.28992051
0.28610157,0.28992051
0.29119349,0.29373945
0.28992051,0.29373945
0.28864753,0.29628541
0.29373945,0.29119349
0.29119349,0.29628541
